Model,MAE,MSE,RMSE,R2
Linear Regression,177648.76274134597,150825361895.84808,388362.4105083396,0.7996426536844978
Decision Tree,120255.83036003892,78050308129.00945,279374.85235613,0.8963174865336353
Random Forest,98631.54428957535,44882202584.60809,211854.20124370462,0.9403782036813108
