Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.859552384041518,0.8607444421258028,0.859552384041518,0.8600493587082096
Decision Tree,0.8180343820953616,0.8184144777332816,0.8180343820953616,0.8181449961170789
Random Forest,0.8323061952643529,0.8322039575462903,0.8323061952643529,0.8322447863113062
